Title,Date,Image Link,Theatre Name,Performance,Show Type,Detail_Link
& Juliet,"(Nov 17, 2022 - Present)",https://www.broadway.org/assets/shows/andjuliet-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Stephen Sondheim Theatre,"1,045",Musical,https://www.ibdb.com/broadway-production/-juliet-534962
Aladdin,"(Mar 20, 2014 - Present)",https://www.broadway.org/assets/shows/aladdin-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,New Amsterdam Theatre,"3,997",Musical,https://www.ibdb.com/broadway-production/aladdin-495244
BOOP! The Musical,"(Apr 05, 2025 - Present)",https://www.broadway.org/assets/shows/boop-1000-dec24.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Broadhurst Theatre,49,Musical,https://www.ibdb.com/broadway-production/boop-the-musical-539978
Buena Vista Social Club,"(Mar 19, 2025 - Present)",https://www.broadway.org/assets/shows/buenavistasocialclub-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Gerald Schoenfeld Theatre,71,Musical,https://www.ibdb.com/broadway-production/buena-vista-social-club-540360
Cabaret,"(Apr 21, 2024 - Present)",https://www.broadway.org/assets/shows/cabaret-2025-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,August Wilson Theatre,448,Musical,https://www.ibdb.com/broadway-production/cabaret-538277
Chicago,"(Nov 14, 1996 - Feb 09, 1997)",https://www.broadway.org/assets/shows/chicago-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Richard Rodgers Theatre,"11,209",Musical,https://www.ibdb.com/broadway-production/chicago-4804
Dead Outlaw,"(Apr 27, 2025 - Present)",https://www.broadway.org/assets/shows/deadoutlaw2024-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Longacre Theatre,25,Musical,https://www.ibdb.com/broadway-production/dead-outlaw-541173
Death Becomes Her,"(Nov 21, 2024 - Present)",https://www.broadway.org/assets/shows/dbh-update-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Lunt-Fontanne Theatre,203,Musical,https://www.ibdb.com/broadway-production/death-becomes-her-539795
Floyd Collins,"(Apr 21, 2025 - Present)",https://www.broadway.org/assets/shows/floyd-collins-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Vivian Beaumont Theater,32,Musical,https://www.ibdb.com/broadway-production/floyd-collins-539860
Glengarry Glen Ross,"(Mar 31, 2025 - Jun 28, 2025)",https://www.broadway.org/assets/shows/glengarryglenross-2024-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Palace Theatre,56,Play,https://www.ibdb.com/broadway-production/glengarry-glen-ross-541094
"Good Night, and Good Luck","(Apr 03, 2025 - Jun 08, 2025)",https://www.broadway.org/assets/shows/goodnight-goodluck-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Winter Garden Theatre,53,Play,https://www.ibdb.com/broadway-production/good-night-and-good-luck-540754
Gypsy,"(Dec 19, 2024 - Present)",https://www.broadway.org/assets/shows/gypsy24-1000.jpeg?width=2000&amp;quality=80&amp;fit=scale-down,Majestic Theatre,165,Musical,https://www.ibdb.com/broadway-production/gypsy-539831
Hadestown,"(Apr 17, 2019 - Present)",https://www.broadway.org/assets/shows/hadestown-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Walter Kerr Theatre,"1,908",Musical,https://www.ibdb.com/broadway-production/hadestown-520711
Hamilton,"(Aug 06, 2015 - Present)",https://www.broadway.org/assets/shows/hamilton-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Richard Rodgers Theatre,"3,437",Musical,https://www.ibdb.com/broadway-production/hamilton-499521
Harry Potter and the Cursed Child,"(Apr 22, 2018 - Present)",https://www.broadway.org/assets/shows/harrypotter-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Lyric Theatre,"2,207",Play,https://www.ibdb.com/broadway-production/harry-potter-and-the-cursed-child-514844
Hell's Kitchen,"(Apr 20, 2024 - Present)",https://www.broadway.org/assets/shows/hellskitchen-2024.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Shubert Theatre,447,Musical,https://www.ibdb.com/broadway-production/hells-kitchen-538560
John Proctor is the Villain,"(Apr 14, 2025 - Jul 06, 2025)",https://www.broadway.org/assets/shows/john-proctor-1000x1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Booth Theatre,40,Play,https://www.ibdb.com/broadway-production/john-proctor-is-the-villain-540636
Just In Time,"(Apr 26, 2025 - Present)",https://www.broadway.org/assets/shows/just-in-time-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Circle in the Square Theatre,26,Musical,https://www.ibdb.com/broadway-production/just-in-time-540608
Maybe Happy Ending,"(Nov 12, 2024 - Present)",https://www.broadway.org/assets/shows/maybehappyending-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Belasco Theatre,215,Musical,https://www.ibdb.com/broadway-production/maybe-happy-ending-539781
MJ,"(Feb 01, 2022 - Present)",https://www.broadway.org/assets/shows/mj-2024-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Neil Simon Theatre,"1,374",Musical,https://www.ibdb.com/broadway-production/mj-524797
Moulin Rouge! The Musical,"(Jul 25, 2019 - Present)",https://www.broadway.org/assets/shows/moulin-rouge-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Al Hirschfeld Theatre,"1,761",Musical,https://www.ibdb.com/broadway-production/moulin-rouge-the-musical-520640
"Oh, Mary!","(Jul 11, 2024 - Sep 28, 2025)",https://www.broadway.org/assets/shows/ohmary-jan2024.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Lyceum Theatre,356,Play,https://www.ibdb.com/broadway-production/oh-mary-539578
Operation Mincemeat: A New Musical,"(Mar 20, 2025 - Present)",https://www.broadway.org/assets/shows/micemeat-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down,John Golden Theatre,69,Musical,https://www.ibdb.com/broadway-production/operation-mincemeat-a-new-musical-540518
Othello,"(Mar 23, 2025 - Jun 08, 2025)",https://www.broadway.org/assets/shows/othello-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Ethel Barrymore Theatre,65,Play,https://www.ibdb.com/broadway-production/othello-540298
Pirates! The Penzance Musical,"(Apr 24, 2025 - Jul 27, 2025)",https://www.broadway.org/assets/shows/pirates-penzance-roundabout-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Todd Haimes Theatre,29,Musical,https://www.ibdb.com/broadway-production/pirates-the-penzance-musical-539492
Purpose,"(Mar 17, 2025 - Jul 06, 2025)",https://www.broadway.org/assets/shows/purpose-update-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Hayes Theater,72,Play,https://www.ibdb.com/broadway-production/purpose-540198
Real Women Have Curves: The Musical,"(Apr 27, 2025 - Present)",https://www.broadway.org/assets/shows/rwhc-2025_2025-04-03-155443_tzjj.jpg?width=2000&amp;quality=80&amp;fit=scale-down,James Earl Jones Theatre,25,Musical,https://www.ibdb.com/broadway-production/real-women-have-curves-the-musical-540775
SIX: The Musical,"(Oct 03, 2021 - Oct 30, 2022)",https://www.broadway.org/assets/shows/six-broadway-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Brooks Atkinson Theatre,"1,498",Musical,https://www.ibdb.com/broadway-production/six-the-musical-523485
SMASH,"(Apr 10, 2025 - Present)",https://www.broadway.org/assets/shows/smash-2025_2025-01-24-213944_retn.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Imperial Theatre,44,Musical,https://www.ibdb.com/broadway-production/smash-540710
Stephen Sondheim's Old Friends,"(Apr 08, 2025 - Jun 29, 2025)",https://www.broadway.org/assets/shows/oldfriends.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Samuel J. Friedman Theatre,47,Musical,https://www.ibdb.com/broadway-production/stephen-sondheims-old-friends-539390
Stranger Things: The First Shadow,"(Apr 22, 2025 - Present)",https://www.broadway.org/assets/shows/strangerthings-1000_2024-08-07-190429_rwbv.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Marquis Theatre,31,Play,https://www.ibdb.com/broadway-production/stranger-things-the-first-shadow-540113
Sunset Boulevard,"(Oct 20, 2024 - Jul 13, 2025)",https://www.broadway.org/assets/shows/sunset-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,St. James Theatre,240,Musical,https://www.ibdb.com/broadway-production/sunset-boulevard-539163
The Book of Mormon,"(Mar 24, 2011 - Present)",https://www.broadway.org/assets/shows/bookofmormon-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Eugene O'Neill Theatre,"5,223",Musical,https://www.ibdb.com/broadway-production/the-book-of-mormon-488721
The Great Gatsby,"(Apr 25, 2024 - Present)",https://www.broadway.org/assets/shows/gatsby-1000-update.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Broadway Theatre,445,Musical,https://www.ibdb.com/broadway-production/the-great-gatsby-538662
The Last Five Years,"(Apr 06, 2025 - Jun 22, 2025)",https://www.broadway.org/assets/shows/thelastfiveyears.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Hudson Theatre,49,Musical,https://www.ibdb.com/broadway-production/the-last-five-years-540016
The Outsiders,"(Apr 11, 2024 - Present)",https://www.broadway.org/assets/shows/outsiders1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Bernard B. Jacobs Theatre,458,Musical,https://www.ibdb.com/broadway-production/the-outsiders-537824
The Picture of Dorian Gray,"(Mar 27, 2025 - Jun 29, 2025)",https://www.broadway.org/assets/shows/doriangray-1000b.png?width=2000&amp;quality=80&amp;fit=scale-down,Music Box Theatre,54,Play,https://www.ibdb.com/broadway-production/the-picture-of-dorian-gray-540658
Wicked,"(Oct 30, 2003 - Present)",https://www.broadway.org/assets/shows/wicked-1000x1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down,Gershwin Theatre,"8,370",Musical,https://www.ibdb.com/broadway-production/wicked-13485
